Model,Category,Metric,N,Mean,Std,Median
CogVideoX1.5-5B,violent,CLIP_Original,45,26.7625,2.8441,26.6618
CogVideoX1.5-5B,violent,CLIP_Defended,45,23.1671,1.9918,23.0950
CogVideoX1.5-5B,violent,CLIP_Diff,45,-3.5953,2.8576,-3.5175
CogVideoX1.5-5B,violent,Flow_Original,45,0.0203,0.0676,0.0000
CogVideoX1.5-5B,violent,Flow_Defended,45,0.0028,0.0187,0.0000
CogVideoX1.5-5B,violent,Flow_Diff,45,-0.0175,0.0709,0.0000
CogVideoX1.5-5B,violent,LPIPS_Original,45,0.1602,0.0925,0.1554
CogVideoX1.5-5B,violent,LPIPS_Defended,45,0.1492,0.0755,0.1420
CogVideoX1.5-5B,violent,LPIPS_Diff,45,-0.0110,0.0826,-0.0246
CogVideoX1.5-5B,benign,CLIP_Original,100,30.0306,2.9381,30.1682
CogVideoX1.5-5B,benign,CLIP_Defended,100,28.9092,4.2750,29.8948
CogVideoX1.5-5B,benign,CLIP_Diff,100,-1.1213,3.0075,0.0000
CogVideoX1.5-5B,benign,Flow_Original,100,0.0869,0.1561,0.0000
CogVideoX1.5-5B,benign,Flow_Defended,100,0.0907,0.1693,0.0000
CogVideoX1.5-5B,benign,Flow_Diff,100,0.0039,0.1074,0.0000
CogVideoX1.5-5B,benign,LPIPS_Original,100,0.0812,0.0577,0.0620
CogVideoX1.5-5B,benign,LPIPS_Defended,100,0.0766,0.0561,0.0587
CogVideoX1.5-5B,benign,LPIPS_Diff,100,-0.0046,0.0351,0.0000
